Date et heure;Production totale;Consommation totale;Auto-consommation;Energie inject�e dans le r�seau;Energie provenant du r�seau
[dd.MM.yyyy];[Wh];[Wh];[Wh];[Wh];[Wh]
16.12.2021;4809.0861;10972.0861;2999.0861;1810.0;7973.0
17.12.2021;14596.1942;8574.1942;1827.1942;12769.0;6747.0
18.12.2021;15503.3128;1712.3128;1552.3128;13951.0;160.0
19.12.2021;12345.0742;366.0742;205.0742;12140.0;161.0
20.12.2021;13851.9281;7051.9281;6032.9281;7819.0;1019.0
21.12.2021;10630.3275;967.3275;773.3275;9857.0;194.0
22.12.2021;1384.1367;6775.1367;782.1367;602.0;5993.0
23.12.2021;13112.6553;3838.6553;2707.6553;10405.0;1131.0
24.12.2021;9372.1892;4723.1892;2397.1892;6975.0;2326.0
25.12.2021;2126.6158;5547.6158;1517.6158;609.0;4030.0
26.12.2021;11125.0992;369.0992;208.0992;10917.0;161.0
27.12.2021;2530.8956;7831.8956;2479.8956;51.0;5352.0
28.12.2021;5989.5089;6569.5089;3091.5089;2898.0;3478.0
29.12.2021;11615.0794;1060.0794;883.0794;10732.0;177.0
30.12.2021;15743.0019;5819.0019;5652.0019;10091.0;167.0
31.12.2021;15845.2797;4640.2797;3602.2797;12243.0;1038.0
01.01.2022;15814.8147;6957.8147;6548.8147;9266.0;409.0
02.01.2022;14791.1256;5013.1256;4844.1256;9947.0;169.0
03.01.2022;12285.0175;5950.0175;3921.0175;8364.0;2029.0
04.01.2022;10446.6275;515.6275;344.6275;10102.0;171.0
05.01.2022;15315.7081;8425.7081;7239.7081;8076.0;1186.0
06.01.2022;5721.7139;3674.7139;1248.7139;4473.0;2426.0
07.01.2022;15445.0711;672.0711;435.0711;15010.0;237.0
08.01.2022;16628.3586;5384.3586;5060.3586;11568.0;324.0
09.01.2022;16737.2111;428.2111;261.2111;16476.0;167.0
10.01.2022;9992.2308;9706.2308;6478.2308;3514.0;3228.0
11.01.2022;8956.6625;374.6625;201.6625;8755.0;173.0
12.01.2022;15903.2181;10786.2181;8939.2181;6964.0;1847.0
13.01.2022;16011.4008;9741.4008;8111.4008;7900.0;1630.0
14.01.2022;15801.0389;14250.0389;4321.0389;11480.0;9929.0
15.01.2022;15134.8883;15568.8883;5837.8883;9297.0;9731.0
16.01.2022;16392.7492;426.7492;261.7492;16131.0;165.0
17.01.2022;15358.4633;5515.4633;5330.4633;10028.0;185.0
18.01.2022;6398.5561;19508.5561;5402.5561;996.0;14106.0
19.01.2022;16367.3142;14180.3142;4533.3142;11834.0;9647.0
20.01.2022;16552.8725;438.8725;273.8725;16279.0;165.0
21.01.2022;16489.96;432.96;268.96;16221.0;164.0
22.01.2022;13432.9322;396.9322;232.9322;13200.0;164.0
23.01.2022;12711.9331;388.9331;227.9331;12484.0;161.0
24.01.2022;12357.0364;8970.0364;5045.0364;7312.0;3925.0
25.01.2022;13374.7925;7844.7925;7234.7925;6140.0;610.0
26.01.2022;15057.5878;10472.5878;8441.5878;6616.0;2031.0
27.01.2022;13861.3753;7858.3753;5844.3753;8017.0;2014.0
28.01.2022;12508.0372;3419.0372;463.0372;12045.0;2956.0
29.01.2022;8612.6006;6783.6006;4853.6006;3759.0;1930.0
30.01.2022;13025.6394;384.6394;223.6394;12802.0;161.0
31.01.2022;11266.7717;19217.7717;8302.7717;2964.0;10915.0
01.02.2022;16326.1969;8949.1969;972.1969;15354.0;7977.0
02.02.2022;16290.6525;6615.6525;5463.6525;10827.0;1152.0
03.02.2022;13001.0878;1132.0878;882.0878;12119.0;250.0
04.02.2022;442.1931;211.1931;112.1931;330.0;99.0
05.02.2022;10142.3063;207.0661;168.8784;9996.5052;61.2650
06.02.2022;16337.5692;375.5692;240.5692;16097.0;135.0
07.02.2022;16134.7950;395.7950;258.7950;15876.0;137.0
08.02.2022;16057.1908;389.1908;253.1908;15804.0;136.0
09.02.2022;16719.0994;398.0994;263.0994;16456.0;135.0
10.02.2022;14655.9661;384.9661;248.9661;14407.0;136.0
11.02.2022;9728.4450;336.4450;197.4450;9531.0;139.0
12.02.2022;16059.5931;376.5931;240.5931;15819.0;136.0
13.02.2022;17131.4475;385.4475;251.4475;16880.0;134.0
14.02.2022;16810.1189;1045.1189;895.1189;15915.0;150.0
15.02.2022;18171.0733;931.0733;797.0733;17374.0;134.0
16.02.2022;18116.6794;614.6794;481.6794;17635.0;133.0
17.02.2022;17825.0031;402.0031;269.0031;17556.0;133.0
18.02.2022;12403.4967;357.4967;220.4967;12183.0;137.0
19.02.2022;5261.7769;296.7769;159.7769;5102.0;137.0
20.02.2022;17353.9261;401.9261;268.9261;17085.0;133.0
21.02.2022;17957.9583;425.9583;292.9583;17665.0;133.0
22.02.2022;15318.1597;390.1597;258.1597;15060.0;132.0
23.02.2022;16629.3650;398.3650;264.3650;16365.0;134.0
24.02.2022;4625.2472;304.2472;162.2472;4463.0;142.0
25.02.2022;13413.2919;360.2919;229.2919;13184.0;131.0
26.02.2022;10601.8606;339.8606;207.8606;10394.0;132.0
27.02.2022;11548.3106;341.3106;211.3106;11337.0;130.0
28.02.2022;17138.5189;411.5189;281.5189;16857.0;130.0
01.03.2022;18643.0294;913.0294;784.0294;17859.0;129.0
02.03.2022;18503.0108;403.0108;274.0108;18229.0;129.0
03.03.2022;16956.1247;852.1247;722.1247;16234.0;130.0
04.03.2022;16239.0219;398.0219;269.0219;15970.0;129.0
05.03.2022;16336.9331;376.9331;246.9331;16090.0;130.0
06.03.2022;17527.8814;396.8814;259.8814;17268.0;137.0
07.03.2022;14872.7453;650.7453;522.7453;14350.0;128.0
08.03.2022;19627.6097;448.6097;321.6097;19306.0;127.0
09.03.2022;17898.7389;664.7389;538.7389;17360.0;126.0
10.03.2022;18105.8008;416.8008;291.8008;17814.0;125.0
11.03.2022;12154.6583;358.6583;231.6583;11923.0;127.0
12.03.2022;16084.3531;387.3531;259.3531;15825.0;128.0
13.03.2022;13009.4289;364.4289;239.4289;12770.0;125.0
14.03.2022;8457.0561;1093.0561;951.0561;7506.0;142.0
15.03.2022;19100.5803;978.5803;851.5803;18249.0;127.0
16.03.2022;11641.1650;345.1650;216.1650;11425.0;129.0
17.03.2022;10929.8378;327.8378;199.8378;10730.0;128.0
18.03.2022;13978.6919;358.6919;234.6919;13744.0;124.0
19.03.2022;19126.1231;398.1231;273.1231;18853.0;125.0
20.03.2022;12845.9304;354.9304;223.9304;12622.0;131.0
21.03.2022;20350.6722;1494.6722;1371.6722;18979.0;123.0
22.03.2022;14591.1417;942.1417;815.1417;13776.0;127.0
23.03.2022;5896.3469;307.3469;173.3469;5723.0;134.0
24.03.2022;10798.5589;540.5589;416.5589;10382.0;124.0
25.03.2022;12996.2431;360.2431;235.2431;12761.0;125.0
26.03.2022;16275.2633;696.2633;572.2633;15703.0;124.0
27.03.2022;16016.8036;357.8036;244.8036;15772.0;113.0
28.03.2022;13820.4636;626.4636;506.4636;13314.0;120.0
29.03.2022;8101.5511;328.5511;207.5511;7894.0;121.0
30.03.2022;14677.8417;381.8417;255.8417;14422.0;126.0
31.03.2022;13174.8392;769.8392;649.8392;12525.0;120.0
01.04.2022;18644.0558;405.0558;286.0558;18358.0;119.0
